id,name_ukr,name_eng,gender,party,faction,convocation,date_oath,date_resignation,elected,age,education,specialization,committee,birthday,assistants,facebook,twitter
103,Денісова Людмила Леонтіївна,Denisova Lyudmyla Leontiyivna,female,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,54,higher education,government,Committee on Social Policy and Labor,06.07.1960,14,https://www.facebook.com/denisovamlsp,
104,Дерев'янко Юрій Богданович,"Derev""yanko Yuriy Bohdanovych",male,"politichna partiya ""volya""",non-affiliated,8,27.11.2014,,constituency,42,higher education,parliament member,Committee on Combating Organized Crime and Corruption,07.05.1973,25,https://www.facebook.com/derevyanko.yuriy/,https://twitter.com/DerevyankoYurii
105,Деркач Андрій Леонідович,Derkach Andriy Leonidovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,47,higher education,parliament member,Budget Committee,19.08.1967,15,,
106,Дехтярчук Олександр Володимирович,Dekhtyarchuk Oleksandr Volodymyrovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,43,higher education,local government,Committee on State Building and Local Self-Government,17.08.1971,21,https://www.facebook.com/oleksandr.dehtyarchuk,
107,Джемілєв Мустафа,Dzhemilyev Mustafa,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,71,secondary,parliament member,Committee on Human Rights,13.11.1943,0,https://www.facebook.com/profile.php?id=100010821679062,
108,Дзензерський Денис Вікторович,Dzenzers'kyy Denys Viktorovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,36,higher education,parliament member,Committee on Finance and Banking,22.12.1978,18,,
109,Дзюблик Павло Володимирович,Dzyublyk Pavlo Volodymyrovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,constituency,35,higher education,local government,Committee on environmental policy,18.09.1979,20,https://www.facebook.com/dzyublik,
110,Дирів Анатолій Борисович,Dyriv Anatoliy Borysovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,45,higher education,parliament member,Committee on environmental policy,01.02.1970,21,https://www.facebook.com/profile.php?id=1325521180,
111,Діденко Ігор Анатолійович,Didenko Ihor Anatoliyovych,male,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,48,higher education,manager,Committee on Transport and Communications,08.02.1967,4,,
112,Дідич Валентин Володимирович,Didych Valentyn Volodymyrovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,57,higher education,local government,Committee on Agrarian Policy and Land Relations,11.10.1957,30,,
113,Дмитренко Олег Миколайович,Dmytrenko Oleh Mykolayovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,41,higher education,manager,Committee on Agrarian Policy and Land Relations,17.10.1973,25,,
114,Добкін Дмитро Маркович,Dobkin Dmytro Markovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,constituency,40,higher education,parliament member,Committee on Agrarian Policy and Land Relations,08.01.1975,4,,
115,Добкін Михайло Маркович,Dobkin Mykhaylo Markovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,45,higher education,unemployment,Committee on State Building and Local Self-Government,26.01.1970,17,https://www.facebook.com/profile.php?id=100013598226162,https://twitter.com/mdobkin
116,Добродомов Дмитро Євгенович,Dobrodomov Dmytro Yevhenovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,38,higher education,ceo,Committee on Combating Organized Crime and Corruption,13.01.1977,27,https://www.facebook.com/dmytro.dobrodomov,
117,Довбенко Михайло Володимирович,Dovbenko Mykhaylo Volodymyrovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,60,higher education,manager,Committee on Finance and Banking,31.10.1954,19,,
118,Довгий Олесь Станіславович,Dovhyy Oles' Stanislavovych,male,non-affiliated,"Group ""Volia narodu""",8,27.11.2014,,constituency,34,higher education,unemployment,Committee on economic policy,01.11.1980,12,https://www.facebook.com/olesdovgiy/,
119,Долженков Олександр Валерійович,Dolzhenkov Oleksandr Valeriyovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,32,higher education,parliament member,Tax and Customs Policy Committee,26.04.1983,7,https://www.facebook.com/profile.php?id=100006098745165,
120,Домбровський Олександр Георгійович,Dombrovs'kyy Oleksandr Heorhiyovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,52,higher education,parliament member,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",07.07.1962,18,https://www.facebook.com/DombrovskijOleksandr/,
121,Донець Тетяна Анатоліївна,Donets' Tetyana Anatoliyivna,female,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,34,higher education,parliament member,"Committee on Health, Maternity and Childhood",11.07.1980,4,https://www.facebook.com/TetianaDonets/,
122,Драюк Сергій Євсейович,Drayuk Serhiy Yevseyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,04.12.2014,,party system,62,higher education,manager,Committee on Social Policy and Labor,18.06.1953,27,https://www.facebook.com/profile.php?id=100003400835731,
123,Дроздик Олександр Валерійович,Drozdyk Oleksandr Valeriyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,04.12.2014,,party system,31,higher education,manager,Committee on Social Policy and Labor,14.06.1983,13,https://www.facebook.com/o.drozdyk,
124,Дубіль Валерій Олександрович,Dubil' Valeriy Oleksandrovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,16.06.2015,,party system,42,higher education,parliament member,Budget Committee,26.09.1973,30,https://www.facebook.com/dubil.valerii,
125,Дубінін Олександр Іванович,Dubinin Oleksandr Ivanovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,56,higher education,ceo,Committee on Industrial Policy,16.05.1959,14,https://www.facebook.com/profile.php?id=100001837212312,
126,Дубневич Богдан Васильович,Dubnevych Bohdan Vasyl'ovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,53,higher education,ceo,Budget Committee,10.05.1962,14,https://www.facebook.com/Dubnevych.Bogdan,
127,Дубневич Ярослав Васильович,Dubnevych Yaroslav Vasyl'ovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,45,higher education,parliament member,Committee on Transport and Communications,07.08.1969,23,https://www.facebook.com/Dubnevych,
128,Дунаєв Сергій Володимирович,Dunayev Serhiy Volodymyrovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,constituency,41,higher education,parliament member,Committee on Combating Organized Crime and Corruption,19.08.1973,14,,
129,Євлахов Анатолій Сергійович,Yevlakhov Anatoliy Serhiyovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,34,higher education,manager,Tax and Customs Policy Committee,14.04.1981,20,https://www.facebook.com/anatoliy.yevlakhov,
130,Євтушок Сергій Миколайович,Yevtushok Serhiy Mykolayovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,constituency,41,higher education,local government,Committee on Transport and Communications,13.11.1973,21,https://www.facebook.com/profile.php?id=100002247157326,
n/a,Єдаков Ярослав Юрійович,Yedakov Yaroslav Yuriyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,21.04.2016,,party system,40,higher education,manager,Committee on Agrarian Policy and Land Relations,25.01.1976,5,https://www.facebook.com/profile.php?id=100012104526681,
131,Єднак Остап Володимирович,Yednak Ostap Volodymyrovych,male,non-affiliated,non-affiliated,8,27.11.2014,,party system,34,higher education,manager,Committee on environmental policy,21.11.1980,15,https://www.facebook.com/yednak.ostap,
132,Єленський Віктор Євгенович,Yelens'kyy Viktor Yevhenovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,58,higher education,adviser,Committee on Culture,26.03.1957,11,,
133,Ємець Леонід Олександрович,Yemets' Leonid Oleksandrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,35,higher education,parliament member,,30.08.1979,21,https://www.facebook.com/profile.php?id=100002263895563,
134,Єремеєв Ігор Миронович,Yeremeyev Ihor Myronovych,male,non-affiliated,,8,27.11.2014,13.08.2015,constituency,47,higher education,parliament member,,03.04.1968,0,,
135,Єфімов Максим Вікторович,Yefimov Maksym Viktorovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,40,higher education,ceo,Committee on Industrial Policy,01.11.1974,22,https://www.facebook.com/maxim.viktorovich.efimov,
136,Єфремова Ірина Олексіївна,Yefremova Iryna Oleksiyivna,female,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,56,higher education,adviser,"Committee on the Rules of Procedure, Parliamentary Ethics and Organization of the Verkhovna Rada of Ukraine",26.03.1959,15,https://www.facebook.com/profile.php?id=100010229170235,
137,Жданов Ігор Олександрович,Zhdanov Ihor Oleksandrovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,02.12.2014,party system,47,higher education,ngo,,29.12.1967,0,,
138,Жеваго Костянтин Валентинович,Zhevaho Kostyantyn Valentynovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,41,higher education,parliament member,Committee on Rule of Law and Justice,07.01.1974,10,https://www.facebook.com/profile.php?id=100004764370772,
139,Жолобецький Олександр Олександрович,Zholobets'kyy Oleksandr Oleksandrovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,49,higher education,manager,Committee on Finance and Banking,24.04.1966,23,https://www.facebook.com/aleksandr.zholobetskyy,
140,Журжій Андрій Валерійович,Zhurzhiy Andriy Valeriyovych,male,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,37,higher education,ceo,Tax and Customs Policy Committee,19.03.1978,4,https://www.facebook.com/profile.php?id=100001269912329,
141,Заболотний Григорій Михайлович,Zabolotnyy Hryhoriy Mykhaylovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,63,higher education,parliament member,Committee on Agrarian Policy and Land Relations,06.01.1952,29,https://www.facebook.com/grigoriyzabolotny,
142,Загорій Гліб Володимирович,Zahoriy Hlib Volodymyrovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,38,higher education,ceo,"Committee on Pensioners, Veterans and the Disabled",21.08.1976,5,https://www.facebook.com/gzagoriy,
143,Заліщук Світлана Петрівна,Zalishchuk Svitlana Petrivna,female,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,32,higher education,ngo,Committee on Foreign Affairs,24.10.1982,13,https://www.facebook.com/svitlana.zalishchuk,https://twitter.com/svitlanaza
144,Заставний Роман Йосипович,Zastavnyy Roman Yosypovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,43,higher education,ceo,Tax and Customs Policy Committee,01.05.1972,8,https://www.facebook.com/romanzast,
145,Звягільський Юхим Леонідович,Zvyahil's'kyy Yukhym Leonidovych,male,partiya regioniv,Opposition Bloc,8,27.11.2014,,constituency,82,higher education,parliament member,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",20.02.1933,9,,
146,Зубач Любомир Львович,Zubach Lyubomyr L'vovych,male,"politichna partiya ""ob'yednannya ""samopomich""","""Obyednannya ""Samopomich""",8,05.06.2015,,party system,37,higher education,manager,Committee on State Building and Local Self-Government,21.01.1978,10,https://www.facebook.com/lyubomyr.zubach,
147,Зубик Володимир Володимирович,Zubyk Volodymyr Volodymyrovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,57,higher education,parliament member,"Committee on Construction, Transport, Housing and Communal Services and Communications",28.02.1958,4,https://www.facebook.com/profile.php?id=100005282119011,
148,Іванчук Андрій Володимирович,Ivanchuk Andriy Volodymyrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,41,higher education,parliament member,Committee on economic policy,16.06.1973,9,,
149,Івахів Степан Петрович,Ivakhiv Stepan Petrovych,male,non-affiliated,"Group ""Volia narodu""",8,27.11.2014,,constituency,47,higher education,parliament member,"Committee on Construction, Transport, Housing and Communal Services and Communications",24.01.1968,14,https://www.facebook.com/StepanIvahiv/,
150,Івченко Вадим Євгенович,Ivchenko Vadym Yevhenovych,male,non-affiliated,"""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,35,higher education,manager,Committee on Agrarian Policy and Land Relations,29.01.1980,24,https://www.facebook.com/vadym1ivchenko/,
151,Іллєнко Андрій Юрійович,Illyenko Andriy Yuriyovych,male,"politichna partiya vseukrayinske ob'yednannya ""svoboda""",non-affiliated,8,27.11.2014,,constituency,27,higher education,parliament member,Committee on Rule of Law and Justice,24.06.1987,25,https://www.facebook.com/andriy.illenko,
152,Ільюк Артем Олександрович,Il'yuk Artem Oleksandrovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,36,higher education,parliament member,Committee on Combating Organized Crime and Corruption,17.04.1979,8,https://www.facebook.com/artemilyuk,
153,Іонова Марія Миколаївна,Ionova Mariya Mykolayivna,female,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,37,higher education,parliament member,Committee on European Integration,31.05.1978,17,https://www.facebook.com/mariya.ionova.9,
154,Іоффе Юлій Якович,Ioffe Yuliy Yakovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,constituency,74,higher education,parliament member,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",10.12.1940,7,,
155,Іщейкін Костянтин Євгенович,Ishcheykin Kostyantyn Yevhenovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,39,higher education,education,Budget Committee,11.09.1975,20,https://www.facebook.com/ishejkin,
156,Іщенко Валерій Олександрович,Ishchenko Valeriy Oleksandrovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,41,higher education,parliament member,Tax and Customs Policy Committee,11.11.1973,8,,
157,Кадикало Микола Олегович,Kadykalo Mykola Olehovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,40,higher education,manager,Committee on Transport and Communications,19.12.1974,23,https://www.facebook.com/m.kadykalo,
158,Каплін Сергій Миколайович,Kaplin Serhiy Mykolayovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,35,higher education,parliament member,Committee on Social Policy and Labor,15.12.1979,28,https://www.facebook.com/kaplins,https://twitter.com/kaplin_sdp
n/a,Карпунцов Валерій Віталійович,Karpuntsov Valeriy Vitaliyovych,male,non-affiliated,Petro Poroshenko Block,8,21.04.2016,,party system,38,higher education,parliament member,Committee on Legislative Support of Law Enforcement,15.06.1978,15,https://www.facebook.com/profile.php?id=100008668537822,
159,Кацер-Бучковська Наталія Володимирівна,Katser-Buchkovs'ka Nataliya Volodymyrivna,female,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,32,higher education,manager,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",15.03.1983,2,https://www.facebook.com/nataliya.katserbuchkovska,
160,Кацуба Володимир Михайлович,Katsuba Volodymyr Mykhaylovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,57,higher education,parliament member,Committee on economic policy,14.07.1957,20,,
161,Квіт Сергій Миронович,Kvit Serhiy Myronovych,male,non-affiliated,,8,27.11.2014,02.12.2014,party system,49,higher education,government,,26.11.1965,0,,
162,Кириленко В'ячеслав Анатолійович,"Kyrylenko V""yacheslav Anatoliyovych",male,"politichna partiya ""narodniy front""",,8,27.11.2014,02.12.2014,party system,47,higher education,parliament member,,07.06.1968,0,https://www.facebook.com/VyacheslavKyrylenko.press,https://twitter.com/KyrylenkoVyach
163,Кириленко Іван Григорович,Kyrylenko Ivan Hryhorovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,58,higher education,parliament member,Committee on Science and Education,02.10.1956,26,,
164,Кириченко Олексій Миколайович,Kyrychenko Oleksiy Mykolayovych,male,radikalna partiya olega lyashka,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,40,higher education,manager,"Committee on Health, Maternity and Childhood",16.03.1975,29,https://www.facebook.com/profile.php?id=100001779469921,
165,Кишкар Павло Миколайович,Kyshkar Pavlo Mykolayovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,34,higher education,military,"Committee on the Rules of Procedure, Parliamentary Ethics and Organization of the Verkhovna Rada of Ukraine",22.09.1980,31,https://www.facebook.com/pavel.kyshkar.3,https://twitter.com/kyshkar
166,Ківалов Сергій Васильович,Kivalov Serhiy Vasyl'ovych,male,ukrayinska morska partiya sergiya kivalova,Opposition Bloc,8,27.11.2014,,constituency,61,higher education,parliament member,Committee on Rule of Law and Justice,01.05.1954,12,https://www.facebook.com/s.kivalov,
167,Кіраль Сергій Іванович,Kiral' Serhiy Ivanovych,male,"politichna partiya ""ob'yednannya ""samopomich""","""Obyednannya ""Samopomich""",8,27.11.2014,,party system,40,higher education,manager,Committee on Industrial Policy,21.03.1975,4,https://www.facebook.com/sergii.kiral,https://twitter.com/serhiykiral
168,Кірш Олександр Вікторович,Kirsh Oleksandr Viktorovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,53,higher education,self-employed,Tax and Customs Policy Committee,24.09.1961,30,https://www.facebook.com/profile.php?id=100004825488022,
169,Кісельов Андрій Миколайович,Kisel'ov Andriy Mykolayovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,34,higher education,manager,Tax and Customs Policy Committee,02.01.1981,10,https://www.facebook.com/profile.php?id=100009571924315,
170,Кіссе Антон Іванович,Kisse Anton Ivanovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,56,higher education,parliament member,Committee on Rule of Law and Justice,10.10.1958,29,https://www.facebook.com/antonkisse,
171,Кіт Андрій Богданович,Kit Andriy Bohdanovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,43,higher education,manager,Committee on Agrarian Policy and Land Relations,02.11.1971,16,https://www.facebook.com/kit.andriy.bogdanovych,
172,Климпуш-Цинцадзе Іванна Орестівна,Klympush-Tsyntsadze Ivanna Orestivna,female,non-affiliated,non-affiliated,8,27.11.2014,14.04.2016,party system,42,higher education,manager,,05.07.1972,0,https://www.facebook.com/ivanna.klympushtsintsadze,https://twitter.com/IKlympush
173,Клімов Леонід Михайлович,Klimov Leonid Mykhaylovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,62,higher education,parliament member,Committee on Finance and Banking,31.03.1953,10,,
174,Клюєв Сергій Петрович,Klyuyev Serhiy Petrovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,45,higher education,parliament member,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",19.08.1969,10,,
175,Княжицький Микола Леонідович,Knyazhyts'kyy Mykola Leonidovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,47,higher education,parliament member,Committee on Culture,02.06.1968,14,https://www.facebook.com/mykolakn,
176,Князевич Руслан Петрович,Knyazevych Ruslan Petrovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,40,higher education,parliament member,Committee on Rule of Law and Justice,28.06.1974,21,,
177,Кобцев Михайло Валентинович,Kobtsev Mykhaylo Valentynovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,46,higher education,manager,Tax and Customs Policy Committee,10.01.1969,12,https://www.facebook.com/mykhaylo.kobtsev,
178,Ковальчук Віталій Анатолійович,Koval'chuk Vitaliy Anatoliyovych,male,non-affiliated,,8,27.11.2014,14.01.2015,party system,46,higher education,parliament member,,23.05.1969,0,,
179,Кодола Олександр Михайлович,Kodola Oleksandr Mykhaylovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,33,higher education,manager,"Committee on Construction, Transport, Housing and Communal Services and Communications",17.02.1982,13,https://www.facebook.com/oleksandr.mihalich,
180,Кожем'якін Андрій Анатолійович,"Kozhem""yakin Andriy Anatoliyovych",male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,49,higher education,parliament member,Committee on Legislative Support of Law Enforcement,13.11.1965,19,,
181,Козак Тарас Романович,Kozak Taras Romanovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,43,higher education,ceo,Tax and Customs Policy Committee,06.04.1972,8,,
182,Козаченко Леонід Петрович,Kozachenko Leonid Petrovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,60,higher education,ceo,Committee on Agrarian Policy and Land Relations,14.05.1955,27,https://www.facebook.com/leonidkozachenko,
183,Козир Борис Юрійович,Kozyr Borys Yuriyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,40,higher education,manager,Committee on Transport and Communications,06.03.1975,28,https://www.facebook.com/boris.kozyr.5,
184,Колганова Олена Валеріївна,Kolhanova Olena Valeriyivna,female,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,45,higher education,parliament member,"Committee on Health, Maternity and Childhood",09.12.1969,7,,
185,Колєсніков Дмитро Валерійович,Kolyesnikov Dmytro Valeriyovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,43,higher education,manager,Committee on environmental policy,27.03.1972,15,,
186,Кондратюк Олена Костянтинівна,Kondratyuk Olena Kostyantynivna,female,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,04.12.2014,,party system,44,higher education,parliament member,Committee on Freedom of Speech and Information,17.11.1970,22,https://www.facebook.com/olena.kondratiuk,
187,Кононенко Ігор Віталійович,Kononenko Ihor Vitaliyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,49,higher education,ceo,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",21.08.1965,4,https://www.facebook.com/profile.php?id=100001507967095,
n/a,Констанкевич Ірина Мирославівна,Konstankevych Iryna Myroslavivna,female,"politichna partiya ""ukrayinske ob_yednannya patriotiv _ ukrop""",,8,06.09.2016,,constituency,51,higher education,education,Committee on Science and Education,23.06.1965,13,https://www.facebook.com/profile.php?id=100002013382156,
188,Константіновський Вячеслав Леонідович,Konstantinovs'kyy Vyacheslav Leonidovych,male,"politichna partiya ""narodniy front""",non-affiliated,8,27.11.2014,,constituency,54,higher education,manager,National Security and Defense Committee,11.11.1960,11,https://www.facebook.com/v.konstantinovskyi,
189,Корнацький Аркадій Олексійович,Kornats'kyy Arkadiy Oleksiyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,61,higher education,ngo,Committee on Agrarian Policy and Land Relations,07.07.1953,13,https://www.facebook.com/arkady.kornatsky.7,
190,Королевська Наталія Юріївна,Korolevs'ka Nataliya Yuriyivna,female,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,40,higher education,ngo,Committee on Social Policy and Labor,18.05.1975,8,https://www.facebook.com/Nataliya.Korolevska/,https://twitter.com/NKorolevska
191,Король Віктор Миколайович,Korol' Viktor Mykolayovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,67,higher education,pensioner,Committee on Legislative Support of Law Enforcement,03.03.1948,6,https://www.facebook.com/profile.php?id=100003952381518,
192,Корчик Віталій Андрійович,Korchyk Vitaliy Andriyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,31,higher education,government,Committee on Transport and Communications,18.04.1984,10,https://www.facebook.com/vitaliy.korchik,
193,Корчинська Оксана Анатоліївна,Korchyns'ka Oksana Anatoliyivna,female,non-affiliated,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,44,secondary,unemployment,"Committee on Health, Maternity and Childhood",17.11.1970,3,,
194,Костенко Павло Петрович,Kostenko Pavlo Petrovych,male,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,38,higher education,manager,Committee on Legislative Support of Law Enforcement,09.10.1976,16,https://www.facebook.com/ic.kostenko,
195,Котвіцький Ігор Олександрович,Kotvits'kyy Ihor Oleksandrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,45,higher education,manager,Committee on Legislative Support of Law Enforcement,24.01.1970,7,,
196,Кошелєва Альона Володимирівна,Koshelyeva Al'ona Volodymyrivna,female,non-affiliated,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,24,higher education,unemployment,Committee on economic policy,14.07.1990,8,https://www.facebook.com/alena.kosheleva.9,
197,Кремінь Тарас Дмитрович,Kremin' Taras Dmytrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,36,higher education,local government,Committee on Science and Education,10.06.1978,27,https://www.facebook.com/taras.kremin,
198,Кривенко Вадим Валерійович,Kryvenko Vadym Valeriyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,46,higher education,manager,Committee on economic policy,08.09.1968,13,https://www.facebook.com/vadim.kryvenko,
199,Кривенко Віктор Миколайович,Kryvenko Viktor Mykolayovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,33,higher education,education,Budget Committee,09.01.1982,29,https://www.facebook.com/viktor.kryvenko.1,
200,Кривохатько Вадим Вікторович,Kryvokhat'ko Vadym Viktorovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,53,higher education,lawyer,Committee on Combating Organized Crime and Corruption,07.01.1962,17,https://www.facebook.com/vadim.krivohatko,
201,Кривошея Геннадій Григорович,Kryvosheya Hennadiy Hryhorovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,37,higher education,unemployment,Committee on Industrial Policy,02.07.1977,4,https://www.facebook.com/profile.php?id=100008291649615,
202,Кришин Олег Юрійович,Kryshyn Oleh Yuriyovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,constituency,47,higher education,ceo,Tax and Customs Policy Committee,27.11.1967,31,,
203,Крулько Іван Іванович,Krul'ko Ivan Ivanovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,33,higher education,ngo,Budget Committee,20.07.1981,28,https://www.facebook.com/ivan.krulko,https://twitter.com/IvanKrulko
204,Ксенжук Олександр Степанович,Ksenzhuk Oleksandr Stepanovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,46,higher education,government,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",11.06.1968,15,https://www.facebook.com/aleksander.ksendjuk,
205,Кубів Степан Іванович,Kubiv Stepan Ivanovych,male,"partiya ""blok petra poroshenka""",non-affiliated,8,27.11.2014,14.04.2016,party system,53,higher education,education,,19.03.1962,0,,
206,Кудлаєнко Сергій Володимирович,Kudlayenko Serhiy Volodymyrovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,39,higher education,government,Committee on State Building and Local Self-Government,13.10.1975,8,https://www.facebook.com/profile.php?id=100002250223319,
207,Кужель Олександра Володимирівна,Kuzhel' Oleksandra Volodymyrivna,female,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,61,higher education,parliament member,Committee on Industrial Policy,04.07.1953,27,https://www.facebook.com/abkuzhel,
